Time,Azimuth,Elevation
2018-293T00:00:00.000000,199.394296,-3.740293
2018-295T01:26:24.000000,174.297857,-3.864593
2018-297T02:52:48.000000,149.222830,-3.548393
2018-299T04:19:12.000000,124.175754,-2.851089
2018-301T05:45:36.000000,99.148767,-1.904019
2018-303T07:12:00.000000,74.121036,-0.885562
2018-305T08:38:24.000000,49.069486,0.012567
2018-307T10:04:48.000000,23.981762,0.621573
2018-309T11:31:12.000000,358.863031,0.827862
2018-311T12:57:36.000000,333.732154,0.594947
2018-313T14:24:00.000000,308.609777,-0.029857
2018-315T15:50:24.000000,283.506719,-0.925246
2018-317T17:16:48.000000,258.420675,-1.919385
2018-319T18:43:12.000000,233.342622,-2.821822
2018-321T20:09:36.000000,208.267306,-3.458432
2018-323T21:36:00.000000,183.199542,-3.704011
2018-325T23:02:24.000000,158.151149,-3.506614
2018-328T00:28:48.000000,133.130328,-2.898059
2018-330T01:55:12.000000,108.131792,-1.987814
2018-332T03:21:36.000000,83.136081,-0.941739
2018-334T04:48:00.000000,58.119021,0.049464
2018-336T06:14:24.000000,33.064679,0.805998
2018-338T07:40:48.000000,7.973668,1.192608
2018-340T09:07:12.000000,342.862051,1.144034
2018-342T10:33:36.000000,317.751680,0.677259
2018-344T12:00:00.000000,292.658237,-0.111920
2018-346T13:26:24.000000,267.584847,-1.067047
2018-348T14:52:48.000000,242.525055,-2.000053
2018-350T16:19:12.000000,217.472173,-2.726104
2018-352T17:45:36.000000,192.427386,-3.098516
2018-354T19:12:00.000000,167.399740,-3.037290
2018-356T20:38:24.000000,142.397261,-2.544924
2018-358T22:04:48.000000,117.416383,-1.705523
2018-360T23:31:12.000000,92.439292,-0.667792
2018-363T00:57:36.000000,67.441696,0.383573
2018-365T02:24:00.000000,42.404955,1.262132
2019-002T03:50:24.000000,17.325330,1.813814
2019-004T05:16:48.000000,352.215693,1.945383
2019-006T06:43:12.000000,327.098649,1.642145
2019-008T08:09:36.000000,301.994885,0.971204
2019-010T09:36:00.000000,276.914046,0.069264
2019-012T11:02:24.000000,251.853859,-0.882771
2019-014T12:28:48.000000,226.807356,-1.693781
2019-016T13:55:12.000000,201.771956,-2.198927
2019-018T15:21:36.000000,176.752577,-2.291755
2019-020T16:48:00.000000,151.755457,-1.944917
2019-022T18:14:24.000000,126.777903,-1.214549
2019-024T19:40:48.000000,101.803961,-0.227985
2019-026T21:07:12.000000,76.810011,0.841083
2019-028T22:33:36.000000,51.775419,1.804387
2019-031T00:00:00.000000,26.692176,2.492820
